uid,psychopathy,machiavellianism,narcissism,openness,conscientiousness,extraversion,agreeableness,neuroticism,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100
1,2.444444444,3.4,3.444444444,7,6,5.5,3.5,3.5,48.59,0,0,4,17,58,112,143,78,18.02793296,179,3227,146,1,3.32756326,2.298853076,4.303217664,20101,132,0,109,19.27,21.52,45.39,26.73,7.21,4.07,1.48,0.39,1.72,0.13,0.36,3.14,2.78,7.68,4.73,1.01,5.43,0.72,3.49,5.54,2.81,1.24,1.53,1.61,0.05,4.93,0.05,0.06,0.32,4.75,3.58,1.12,0.14,0.38,0.17,8.58,1.41,1.17,0.92,1.45,0.82,0.33,1.5,1.77,1.41,0.49,0.41,0.27,0.73,0.24,0.17,0.18,0.16,6.66,0.78,2.46,3.38,1.58,1.14,1.01,0.17,0.72,0.22,0.1,1.17,0.34,0.13,9.18,4.13,4.86,1.31,2.05,0.66,0.92,1.14,4.37,0.71,15.11,45.7
2,1.888888889,2.4,2.777777778,7,4.5,6,3,5.5,41.29,0,0,0,0,1,77,242,24,6.005660377,530,3183,26,1,2.670245853,2.356025857,3.953566414,8986,58,0,21,30.95,18.26,54.47,31.22,6.27,4.09,2.44,0.36,0.71,0.29,0.29,2.19,4.02,6.98,4.25,1.39,4.61,0.48,3.42,10.23,2.38,0.61,1.46,3.23,0.06,3.68,0.16,0.1,0.32,3.69,2.85,0.83,0.1,0.19,0.21,7.84,0.97,0.91,0.92,1.33,0.77,0.31,2.06,1.39,1.77,0.82,0.31,0.45,1.91,0.49,0.28,0.11,1.07,13.54,2.3,5.9,5.04,1.52,1.13,2.06,0.63,1.14,0.28,0.09,0.43,0.12,0.1,7.55,1.34,8.28,0.04,0.46,2.34,2.99,0.38,1.46,2.83,21.9,53.49
3,1.111111111,3,3.444444444,5.5,6,6,6.5,3,14.65,0,0,0,0,1,4,4,22,1.668,250,417,22,0,1.924279286,1.944482672,2.622214023,419,0,0,1,13.76,18.37,73.01,45.17,13.93,9.26,4.82,0.47,2.56,0.55,0.86,4.67,4.53,14.61,9.24,2.96,9.53,1,4.51,8.67,3.72,2.08,1.86,2.06,0.42,9.77,0.27,0.24,0.8,7.29,4.78,2.43,0.26,0.89,0.57,12.49,1.95,1.59,1.37,2.03,1.02,0.37,2.61,2.36,1.97,0.89,0.58,0.42,2.08,0.64,0.51,0.68,0.37,10.53,1.5,4.49,4.45,1.79,1.5,1.68,0.24,1.22,0.46,0.22,0.97,0.27,0.13,8.4,2.36,3.07,0.2,2.63,1.72,0.64,0.42,2.74,0.11,10.13,32.77
4,1.888888889,3,2.444444444,5,3.5,2,6.5,1.5,17.6,0,0,0,0,0,3,19,13,2.014553015,481,969,0,0,1.698970004,1.770852012,2.989449818,976,0,0,1,9.87,20.59,74.02,44.86,10.14,6.31,3.14,0.68,1.13,0.77,0.58,3.84,5.78,12.76,8,2.66,8.02,0.94,4.34,11.17,4.37,2.06,2.46,2.19,0.22,6.59,0.12,0.07,0.55,6.39,3.84,2.52,0.39,0.81,0.56,14.27,1.99,1.11,1.78,2.6,1.3,0.55,3.39,2.57,2.49,1.07,0.65,0.52,1.87,0.77,0.39,0.19,0.59,13.14,1.8,5.96,5.51,2.32,2.22,2.17,0.45,0.84,0.29,0.09,0.5,0.17,0.29,12.09,2.39,1.65,0.16,1.43,2.42,1.07,1.67,3.46,0.35,5.65,32.67
5,2.111111111,3.1,1.333333333,6,5.5,2.5,5.5,5,52.63,9,19,26,36,40,45,43,139,73.60465116,43,3165,152,0,2.882524538,2.571708832,4.386819886,24368,121,0,30,9.37,20.42,77.51,48.85,14.48,9.32,5.54,0.45,1.82,0.82,0.69,5.16,5.43,15.34,9.48,2.27,10.55,1.23,5.17,10.37,4.41,2.08,2.39,1.62,0.26,7.56,0.13,0.11,0.61,7.78,3.83,3.86,0.54,0.84,1.74,14.1,2.21,1.13,1.66,2.75,1.55,0.45,2.78,2.68,2.53,0.98,0.87,0.49,1.98,0.95,0.41,0.28,0.41,11.16,1.4,4.96,4.9,1.14,1.14,1.42,0.37,0.45,0.4,0.19,1.26,0.43,0.25,11.26,4.24,1.12,0.08,1.14,0.38,0.85,1.05,4.67,0.38,8.34,34.25
6,2,3,2.111111111,5,4.5,5.5,6,3.5,19.32,0,0,0,0,0,10,107,14,2.741880342,1170,3208,93,0,2.414973348,2.413299764,3.555336328,3592,246,0,13,12.28,19.53,78.12,47.71,10.89,7.08,4.4,0.36,1.61,0.38,0.32,3.81,7.22,12.27,8.06,2.43,7.62,0.85,4.83,12.82,4.02,1.68,2.12,1.5,0.19,5.79,0.21,0.21,0.51,6.57,4.69,1.84,0.36,0.54,0.39,12.34,2.04,0.97,1.39,2.15,1.02,0.52,2.93,2.36,2.47,1.08,0.54,0.63,2.41,0.8,0.52,0.17,0.99,15.1,1.87,6.04,7.21,1.81,1.75,2.03,0.79,0.66,0.25,0.08,0.63,0.28,0.3,11.19,3.12,1.05,0.18,1.2,1.22,1.88,0.16,4.08,0.65,6.05,31.65
7,1.777777778,2.4,1.777777778,3.5,3,1,4.5,3,35.62,0,0,0,0,0,39,174,18,3.588826816,895,3212,21,1,2.720159303,2.945468585,3.612571954,4098,7984,0,41,11.41,20.59,75.57,47.39,13.37,8.04,5.35,0.31,1.76,0.17,0.44,5.33,6.01,12.35,7.83,2.02,8.49,0.82,4.43,11.56,3.82,1.39,2.32,1.69,0.33,5.87,0.1,0.11,0.52,5.08,3.13,1.9,0.35,0.62,0.28,13.52,2.32,1.48,1.38,2.6,1.22,0.49,2.87,2.35,2.15,0.73,0.53,0.64,2.42,0.96,0.49,0.31,0.75,12.37,1.64,5.53,5.33,2.06,1.46,1.49,0.49,0.93,0.33,0.11,0.62,0.17,0.37,9.79,4.06,1.97,0.23,1.12,0.41,1.29,0.62,4.46,0.28,8.04,32.54
8,1.777777778,1.6,2.666666667,6,4.5,5.5,6,3.5,41.2,0,0,0,0,11,87,231,31,6.445564516,496,3197,125,0,2.971275849,2.855519156,3.923347656,8382,130,0,32,10.69,19.4,66.42,40.57,10.98,6.97,3.93,0.32,2,0.35,0.38,4.01,5.33,11.82,7.42,1.88,8.35,0.78,3.81,9.79,3.62,1.48,1.88,1.61,0.38,6.7,0.3,0.11,0.57,5.53,3.83,1.67,0.18,0.82,0.24,11.3,1.54,1.49,1.23,2.19,0.87,0.47,2.44,1.97,1.99,0.83,0.48,0.44,1.98,0.56,0.32,0.39,0.78,10.8,1.47,5.15,4.24,1.89,1.56,1.85,0.35,0.88,0.78,0.1,0.71,0.13,0.24,9.47,2.6,3.87,0.25,2.43,2.94,0.73,0.52,2.97,0.42,15.54,42.17
9,2.666666667,3.5,3.333333333,6,5,1.5,4,6.5,49.94,0,3,13,30,69,83,85,85,36.39772727,88,3203,35,1,3.014520539,2.531478917,4.326356346,21201,114,0,86,12.64,21.93,72.2,44.8,12.11,7.32,3.78,0.48,1.89,0.63,0.54,4.8,5.08,12.97,8.15,2.96,8.04,0.92,4.34,10.45,4.47,2.04,2.42,1.81,0.23,7.61,0.17,0.14,0.65,6.38,4.36,2,0.38,0.57,0.38,13.4,2.22,1.26,1.44,2.41,1.38,0.39,2.58,2.59,2.03,0.99,0.65,0.34,1.12,0.36,0.26,0.21,0.31,11.79,1.46,4.48,5.97,1.58,1.43,2.02,0.34,0.62,0.31,0.14,1.02,0.35,0.19,13.15,4.6,2.85,0.32,1.27,1.07,1.04,1.66,3.98,0.45,12.85,43.73
10,2,2.9,2,2.5,6.5,4,4.5,5,39.96,0,0,0,0,8,51,203,29,4.331989247,744,3223,133,1,2.212187604,2.414973348,3.503790683,3190,6,0,14,14.59,20.03,68.72,40.92,9.51,6.09,3.65,0.37,1.65,0.16,0.25,3.42,5,12.41,7.67,2.24,7.91,1.07,4.34,10.38,3.85,1.74,2.24,1.54,0.6,5,0.11,0.09,0.24,6.57,4.21,2.31,0.3,0.99,0.39,12.94,1.9,1.33,1.43,2.51,1.12,0.53,2.7,2.47,2.39,0.94,0.77,0.43,2.05,0.62,0.34,0.25,0.88,12.05,1.45,4.96,5.73,2.15,1.87,1.95,0.39,0.88,0.43,0.08,0.8,0.25,0.26,7.43,2.79,2.96,0.76,1.1,3.28,3.46,0.41,3.56,0.71,11.36,38.5
11,2,2.4,1.888888889,5.5,2.5,2.5,5.5,5,39.24,0,0,0,1,22,143,230,41,11.5631769,277,3203,65,0,1.944482672,2.017033339,4.045088162,11094,2,0,13,15.48,16.62,63.76,38.2,11.58,8.07,4.85,0.28,1.84,0.61,0.48,3.51,4.36,11.79,7.27,2.24,7.93,0.81,3.49,8.26,3.35,1.68,1.71,1.35,0.34,8.04,0.24,0.11,0.79,5.47,3.46,1.98,0.23,0.83,0.39,10.46,1.44,1.1,1.31,1.83,1.07,0.4,2.32,1.92,3.36,0.86,1.71,0.6,2.2,0.95,0.39,0.49,0.56,10.08,1.46,4.46,4.25,1.07,0.97,1.44,0.43,0.75,0.36,0.37,0.84,0.24,0.23,11.3,3.08,5.68,0.08,0.92,1.18,0.32,1.03,2.71,0.82,20.39,48.33
12,2.555555556,2.1,2.888888889,5.5,2,5.5,4,1.5,39.07,0,0,0,0,5,49,150,28,3.486094317,827,2883,0,1,2.06069784,2.537819095,3.460296327,2886,197,0,3,15.04,21.68,63.33,37.09,7.62,4.39,2.48,0.39,1.05,0.21,0.27,3.23,5.79,9.66,6.03,1.34,6.83,0.75,3.63,10.19,2.37,1.03,1.88,1.73,0.31,4.58,0.1,0.07,0.49,6.56,4.67,1.86,0.3,0.74,0.27,10.93,1.79,1.4,1.13,2.12,1.01,0.42,1.98,1.81,2.19,1.11,0.41,0.56,1.81,0.52,0.46,0.31,0.61,10.78,1.46,5.38,3.93,1.79,1.62,1.73,0.34,0.73,0.26,0.12,0.6,0.09,0.29,10.58,1.86,4.78,0.1,0.62,0.79,0.57,0.4,0.97,0.16,15.48,36.48
13,1.777777778,3.6,3,5,4,3,4,4.5,27.32,0,0,0,0,0,3,12,14,2.091428571,175,366,0,0,2.63447727,2.06069784,2.549003262,354,1,0,3,12.24,20.1,69.74,42.86,12.07,7.81,3.74,0.34,2.13,1.04,0.57,4.26,4.69,13.84,8.23,3.08,8.6,1.11,4.61,9.01,4.2,1.79,2.45,1.72,0.29,7.96,0.21,0.07,0.66,5.92,3.83,2.06,0.34,0.64,0.55,12.79,2.09,1.2,1.54,2.13,1.61,0.55,2.56,2.18,3.08,1.54,0.75,0.46,2.56,0.77,0.45,0.52,0.89,10.98,1.22,4.38,5.72,0.73,1.27,1.72,0.23,0.72,0.36,0.29,0.54,0.02,0.39,9.73,1.91,3.52,0.02,1.16,3.84,0.82,0.8,3.11,0.2,12.75,38.07
14,2.666666667,3.7,3.111111111,7,6.5,4.5,3.5,2.5,31.32,0,0,0,1,2,9,32,47,2.147940075,534,1147,60,0,2.340444115,2.356025857,3.059184618,1146,37,0,2,10.76,19.05,69.1,40.84,11,7.1,4.74,0.4,1.31,0.38,0.26,3.9,5.13,12.89,7.88,1.99,8.99,0.87,3.86,9.84,3.35,1.46,1.98,1.69,0.53,5.48,0.07,0.11,0.54,6.63,4.5,2.09,0.35,0.9,0.24,11.67,1.41,1.21,1.47,2.07,0.96,0.43,2.86,1.88,2.07,1.17,0.32,0.44,2.13,0.79,0.44,0.49,0.45,12.14,1.53,5.36,5.25,1.67,1.59,1.93,0.56,0.95,0.21,0.14,0.97,0.24,0.18,16.64,2.36,3.11,0.03,1.5,4.25,0.99,0.25,2.19,0.13,13.68,45.29
15,1.444444444,2.4,3.444444444,6,4,4,4,5,12.83,1,1,2,3,12,30,81,105,3.261904762,672,2192,32,0,1.982271233,2.029383778,3.342620043,2201,20,0,6,13.2,18.4,64.88,39.89,11.85,7.96,5.89,0.33,1.14,0.31,0.3,3.89,3.91,11.46,7.37,1.99,7.84,0.81,4.2,9.58,3.5,1.33,1.8,1.75,0.22,5.49,0.16,0.26,0.76,5.17,3.28,1.84,0.34,0.66,0.34,10.51,1.52,1.22,1.4,1.58,1,0.43,2.12,2.02,1.68,0.7,0.4,0.45,2.14,0.68,0.7,0.29,0.53,10.97,1.41,4.66,4.9,1.73,1.26,1.9,0.49,0.53,0.35,0.18,0.88,0.12,0.21,13.07,2.61,9.82,0.35,0.75,2.27,1.36,0.58,2.28,0.51,16.14,50.22
16,3,4,3.555555556,6,6,2.5,3.5,3,49.03,0,0,0,3,31,131,210,57,12.25287356,261,3198,123,1,3.204119983,2.689308859,4.274250243,18804,3965,0,266,16.92,19.04,54.71,31.7,7.69,5.17,3.32,0.32,1.1,0.2,0.24,2.52,3.79,8.83,5.38,1.5,6.17,0.64,3.77,8.12,2.75,1.3,1.76,2.27,0.1,4.39,0.22,0.06,0.32,5.13,3.73,1.36,0.1,0.51,0.34,8.07,1.05,1.13,0.83,1.26,0.93,0.4,1.56,1.4,1.89,0.76,0.53,0.4,2.05,0.55,0.43,0.34,0.75,11.3,1.13,4.41,5.86,1.26,1.18,1.69,0.31,0.67,0.29,0.1,0.89,0.15,0.23,7.86,3.17,5.12,0.52,0.99,3.14,0.9,0.58,2.26,2.55,17.37,47.1
